lesson_id,video_id,name,lesson_url,forum_url,course_id
82,KzfyftiH7R8,Lesson 18,https://github.com/fastai/course-nlp/blob/master/8-translation-transformer.ipynb,,9
83,vbva2RN-rbQ,Lesson 19,,,9
84,8iGzBMboA0I,Lesson 1,https://github.com/fastai/numerical-linear-algebra/blob/master/nbs/1.%20Why%20are%20we%20here.ipynb,https://forums.fast.ai/c/lin-alg/11,10
85,kgd40iDT8yY,Lesson 2,https://github.com/fastai/numerical-linear-algebra/blob/master/nbs/2.%20Topic%20Modeling%20with%20NMF%20and%20SVD.ipynb,https://forums.fast.ai/c/lin-alg/11,10
86,C8KEtrWjjyo,Lesson 3,https://github.com/fastai/numerical-linear-algebra/blob/master/nbs/2.%20Topic%20Modeling%20with%20NMF%20and%20SVD.ipynb,https://forums.fast.ai/c/lin-alg/11,10
87,Ys8R2nUTOAk,Lesson 4,https://github.com/fastai/numerical-linear-algebra/blob/master/nbs/3.%20Background%20Removal%20with%20Robust%20PCA.ipynb,https://forums.fast.ai/c/lin-alg/11,10
88,O2x5KPJr5ag,Lesson 5,https://github.com/fastai/numerical-linear-algebra/blob/master/nbs/3.%20Background%20Removal%20with%20Robust%20PCA.ipynb,https://forums.fast.ai/c/lin-alg/11,10
89,YY9_EYNj5TY,Lesson 6,https://github.com/fastai/numerical-linear-algebra/blob/master/nbs/4.%20Compressed%20Sensing%20of%20CT%20Scans%20with%20Robust%20Regression.ipynb,https://forums.fast.ai/c/lin-alg/11,10
90,ZUGkvIM6ehM,Lesson 7,https://github.com/fastai/numerical-linear-algebra/blob/master/nbs/4.%20Compressed%20Sensing%20of%20CT%20Scans%20with%20Robust%20Regression.ipynb,https://forums.fast.ai/c/lin-alg/11,10
91,SjX55V8zDXI,Lesson 8,https://github.com/fastai/numerical-linear-algebra/blob/master/nbs/6.%20How%20to%20Implement%20Linear%20Regression.ipynb,https://forums.fast.ai/c/lin-alg/11,10
92,AbB-w77yxD0,Lesson 9,https://github.com/fastai/numerical-linear-algebra/blob/master/nbs/7.%20PageRank%20with%20Eigen%20Decompositions.ipynb,https://forums.fast.ai/c/lin-alg/11,10
93,1kw8bpA9QmQ,Lesson 10,https://github.com/fastai/numerical-linear-algebra/blob/master/nbs/8.%20Implementing%20QR%20Factorization.ipynb,https://forums.fast.ai/c/lin-alg/11,10
94,CzdWqFTmn0Y,Lesson 1,https://course18.fast.ai/lessonsml1/lesson1.html,https://forums.fast.ai/t/wiki-thread-lesson-1/6825,11
95,blyXCk4sgEg,Lesson 2,https://course18.fast.ai/lessonsml1/lesson2.html,https://forums.fast.ai/t/wiki-lesson-thread-lesson-2/7126,11
96,YSFG_W8JxBo,Lesson 3,https://course18.fast.ai/lessonsml1/lesson3.html,https://forums.fast.ai/t/wiki-lesson-thread-lesson-3/7293,11
97,0v93qHDqq_g,Lesson 4,https://course18.fast.ai/lessonsml1/lesson4.html,https://forums.fast.ai/t/wiki-lesson-thread-lesson-4/7540,11
98,3jl2h9hSRvc,Lesson 5,https://course18.fast.ai/lessonsml1/lesson5.html,https://forums.fast.ai/t/lesson-5-wiki/7672,11
99,BFIYUvBRTpE,Lesson 6,https://course18.fast.ai/lessonsml1/lesson6.html,https://forums.fast.ai/t/wiki-lesson-thread-lesson-6/7857,11
100,O5F9vR2CNYI,Lesson 7,https://course18.fast.ai/lessonsml1/lesson7.html,https://forums.fast.ai/t/wiki-lesson-thread-lesson-7/7950,11
